,Filtered_Text
157,"['maraschino', 'cherries', 'stems', 'butter', 'corn', 'syrup', 'confectioners', 'sugar', 'chocolate', 'coating']"
158,"['peaches', 'juice', 'sugar', 'chunks', 'cherries', 'cake', 'mix', 'vanilla', '⅓', 'oil', 'eggs', 'raisins', 'walnuts', 'coconut']"
159,"['steak', 'pieces', 'apple', 'cider', '⅓', 'sugar', 'currants', 'raisins', 'fruit', 'peel', 'butter', 'cherry', 'preserves', 'ginger', 'cloves', 'cinnamon', 'salt', 'cherries', 'liquid', 'recipe', 'pastry', 'inch', 'pie', 'cream']"
160,"['ham', 'water', 'sugar', 'flour', 'mustard', 'powder', 'honey', 'lemon', 'juice', 'chunks', 'jar', 'maraschino', 'cherries', 'toothpicks']"
161,"['flour', 'sugar', 'powder', 'salt', 'oil', 'milk', 'egg', 'almond', 'extract', 'cherries']"
162,"['flour', 'powder', 'sugar', 'milk', 'butter', 'peaches']"
163,"['pineapple', 'juice', 'jar', 'maraschino', 'cherries', 'brown', 'sugar']"
164,"['cherries', 'sugar', 'vodka']"
165,"['inch', 'cake', 'layers', 'strawberries', 'sugar', 'blueberries', 'bananas', 'orange', 'juice', 'package', 'vanilla', 'mix', 'milk', 'whipping', 'cream', 'almonds', 'maraschino', 'cherries']"
166,"['banana', 'strawberries', 'blueberries', 'cherries', 'ice', 'cubes', 'orange', 'juice', 'vanilla', 'yogurt', 'honey']"
167,"['package', 'ready-to-use', 'pie', 'crust', 'cherries', 'sugar', 'cornstarch', 'almond', 'extract', 'butter', 'bits']"
168,"['water', 'sugar', 'clementine', 'oranges', 'maraschino', 'cherries', 'cinnamon', 'stick', 'bitters']"
169,"['cherries', 'sugar', 'flour', 'oats', 'brown', 'butter']"
170,"['ice', 'fluid', 'whiskey', 'liqueur', 'bitters', 'maraschino', 'cherry']"
171,"['pie', 'filling', 'package', 'cake', 'mix', 'butter', 'pecans']"
