,Filtered_Text
476,"['water', 'cinnamon', 'prunes', 'sugar', 'substitute', 'oat', 'bran']"
477,"['sugar', 'margarine', 'eggs', 'flour', 'powder', 'soda', 'bananas', 'plums']"
478,"['plums', 'pineapple', 'apple', 'juice', 'fluid', 'orange', 'concentrate', 'lemon', 'cloves', 'allspice', 'package', 'fruit', 'pectin', 'butter', 'sugar', 'food', 'coloring']"
479,"['water', 'salt', 'egg', 'butter', 'room', 'temperature', 'flour', 'sugar', 'machine', 'yeast']"
480,"['russet', 'potatoes', 'salt', 'butter', 'eggs', 'beaten', 'farina', 'flour', 'prune', 'plums', 'cubes', 'sugar', 'bread', 'crumbs', 'garnish']"
481,"['flour', 'powder', 'sugar', 'vanilla', 'salt', '⅓', 'butter', 'room', 'temperature', 'chunks', 'eggs', 'prune', 'plums', 'cinnamon', 'almonds']"
482,"['prunes', 'flour', 'sugar', 'vanilla', 'powder', 'salt', 'eggs', 'milk', 'rum']"
483,"['milk', 'flour', 'sugar', 'cakes', 'yeast', '⅓', 'margarine', 'bread', 'crumbs', 'eggs', '⅛', 'vanilla', 'plums', 'butter', 'cinnamon']"
484,"['apples', 'prune', 'plums', 'onions', 'malt', 'vinegar', 'sugar', 'salt', 'sauce', 'cloves', 'ginger', 'pepper', 'half-pint', 'canning', 'jars', 'lids', 'rings']"
485,"['flour', 'sugar', 'powder', 'butter', 'cream', 'egg', 'plums', 'vanilla', 'extract']"
486,"['pork', 'tenderloin', 'salt', 'pepper', 'oil', 'plums', 'vinegar', 'brown', 'sugar', 'honey', 'juice']"
487,"['butter', 'brown', 'sugar', 'milk', 'dates', 'raisins', 'currants', 'fruit', 'peel', 'orange', 'baking', 'soda', 'flour', 'cinnamon', 'salt']"
488,"['butter', 'sugar', 'stick', 'room', 'temperature', 'eggs', 'plain', 'yogurt', 'vanilla', 'extract', 'flour', 'baking', 'soda', 'powder', 'salt', 'cinnamon', 'ripe', 'plums', 'peaches']"
489,"['pecans', 'prunes', 'sugar', 'cinnamon', 'cloves', 'lime', 'juice']"
490,"['plums', 'cloves', 'onion', 'sugar', 'apple', 'cider', 'vinegar', 'chipotle', 'seasoning', 'jalapeno', 'pepper', 'seeds', 'milder', 'flavor', 'salt', 'liquid', 'smoke', 'flavoring', 'half-pint', 'canning', 'jars', 'lids', 'rings']"
491,"['prunes', 'apricots', 'ginger', 'orange', 'zest', 'cumin', 'cinnamon', 'salt', 'pepper', 'boneless', 'pork', 'loin', 'roast', 'sugar', 'flour', 'cider', 'vinegar', 'mustard', 'powder', 'water', 'cornstarch']"
492,"['plums', 'water', 'package', 'gelatin', 'sugar', 'juice', 'milk']"
493,"['oranges', 'lemons', 'seedless', 'grapes', 'plums', 'pieces', 'pineapple', 'sugar', 'tea', 'ice']"
494,"['yeast', 'milk', 'flour', '¼', 'butter', 'room', 'temperature', 'cream', 'sugar', 'eggs', 'egg', 'yolks', 'jam', 'confectioners', 'water']"
495,"['flour', '⅓', 'sugar', 'lemon', 'peel', 'cinnamon', 'butter', 'chunks', 'eggs', 'egg', 'yolks', 'water', 'prune', 'plums']"
496,"['plums', 'butter', 'sugar', 'eggs', 'flour', 'powder', 'salt', 'milk', 'vanilla', 'extract', 'cinnamon']"
497,"['zucchini', 'oil', 'sugar', 'eggs', 'vanilla', 'extract', 'flour', 'wheat', 'baking', 'soda', 'salt', 'cinnamon', 'powder', 'plums']"
498,"['bag', 'baby', 'spinach', 'walnut', 'pieces', 'feta', 'onion', 'alfalfa', 'sprouts', 'pomegranate', 'seeds', 'vinaigrette']"
499,"['poblano', 'peppers']"
500,"['mix', 'pomegranate', 'seeds', 'cheese', 'walnuts', 'cranberry', 'vinaigrette']"
501,"['apples', 'pomegranate', 'skin', 'membrane', 'brown', 'sugar', 'cinnamon', 'oats', 'flour', 'butter']"
502,"['ice', 'fluid', 'pomegranate', 'juice', 'lime', 'liqueur', 'soda', 'seeds']"
503,"['sugar', 'juice', 'lemons', 'fluid', 'container', 'pectin']"
504,"['shoulder', 'blade', 'chops', 'salt', 'pepper', 'oil', 'onion', 'cloves', 'juice', 'vinegar', 'mint', 'leaves', 'flakes', 'honey', 'seeds', 'pumpkin']"
505,"['sauce', 'molasses', 'honey', 'seed', 'oil', 'mustard', 'clove', 'garlic', 'sea', 'salt', 'pepper']"
506,"['oil', 'pomegranate', 'juice', 'rice', 'vinegar', 'sugar', 'shallots', 'pepper', 'salt']"
507,"['oil', 'onion', 'rice', 'broth', 'saffron', 'threads', 'allspice', 'pistachios', 'butter', 'pomegranate', 'seeds', 'salt', 'pepper']"
508,"['leaf', 'lettuce', 'pomegranate', 'seeds', 'oil', 'juice', 'lemon', 'mustard', 'honey', 'pepper']"
509,"['blueberries', 'pomegranate', 'juice', 'plain', 'yogurt', 'skim', 'milk', 'oats', 'sucralose', 'sweetener', 'cinnamon']"
510,"['sugar', 'pomegranate', 'juice']"
511,"['pears', 'wedges', 'pomegranate', 'skin', 'membrane', 'lemon', 'juice', 'sugar', 'cinnamon', 'almonds', 'sprigs', 'mint', 'leaves', 'garnish']"
512,"['sweet', 'potato', 'salt', 'brown', 'sugar', 'buttermilk', 'flour', 'sticks', 'butter']"
513,"['persimmon', 'spinach', 'seeds', 'goat', 'cheese', 'almonds']"
514,"['egg', 'whites', 'room', 'temperature', 'sugar', 'superfine', 'cornstarch', 'orange', 'blossom', 'water', 'vinegar']"
515,"['sugar', 'cranberries', 'juice', 'fluid', 'orange', 'champagne']"
516,"['bag', 'cranberries', 'sugar', 'orange', 'juice', 'zest', 'cloves', 'cinnamon', 'sticks', 'pomegranate', 'seeds']"
517,"['oil', 'legs', 'onion', 'walnuts', 'food', 'processor', 'salt', 'juice', 'cardamom', 'sugar']"
518,"['tart', 'apples', 'pomegranates', 'seeds', 'bottle', 'pomegranate', 'juice', 'sugar', 'oranges', 'cranberries', 'pecans']"
519,"['butternut', 'squash', 'cubes', 'seeds', 'shallot', 'oil', 'paprika', 'chili', 'powder', 'ginger', 'salt', 'pepper', 'sprouts', 'leaves', 'syrup', 'milk', 'goat', 'cheese', 'pomegranate']"
520,"['juice', 'sugar']"
521,"['cheese', 'slabs', 'vinegar', 'honey', 'oil', 'pepper', 'beans', 'kidney', 'onion', 'mint', 'cilantro']"
522,"['pomegranate', 'juice', 'soy', 'sauce', 'clove', 'garlic', 'oil', 'seeds']"
523,"['pomegranate', 'juice', 'vinegar', 'mustard', 'honey', 'canola', 'oil', 'salt', 'pepper', 'apples', 'package', 'baby', 'spinach', 'seeds', 'pecans', 'cheese']"
524,"['cream', 'sugar', 'pomegranate', 'juice', 'vanilla', 'extract', 'salt']"
525,"['pomegranate', 'juice', 'wine', 'cinnamon', 'cloves', 'ginger', 'butter', 'sugar']"
526,"['bone-in', 'pork', 'shoulder', 'roast', 'salt', 'pepper', 'pomegranates', 'seeds', 'water', 'vinegar', 'turbinado', 'sugar', 'cinnamon']"
527,"['champagne', 'vinegar', 'pomegranate', 'juice', 'shallot', 'pepper', 'sugar', 'seeds']"
528,"['freekeh', 'apple', 'cider', 'vinegar', 'tahini', 'honey', 'oil', 'salt', 'pepper', 'taste', 'pomegranate', 'seeds', 'onion', 'mint', 'parsley', 'pistachios']"
529,"['baby', 'spinach', 'leaves', 'onion', 'oranges', 'pomegranate', 'seeds']"
530,"['pomegranates', 'oil', 'shallot', 'lime', 'juice', 'salt', 'pepper', 'taste', 'cilantro']"
531,"['oil', 'onions', 'chicken', 'pieces', 'water', 'pomegranate', 'juice', 'walnuts', 'cardamom', 'cinnamon', 'butternut', 'squash', 'saffron', 'powder', 'salt']"
532,"['macadamia', 'nuts', 'syrup', 'salt']"
533,"['potato', 'cubes', 'cabbage', 'pomegranate', 'seeds', 'carrot', 'matchsticks', 'oil', 'lemon', 'juice', 'clove', 'garlic', 'salt', 'brown', 'sugar', 'pepper', 'flakes']"
534,"['water', 'quinoa', 'cube', 'bouillon', 'florets', 'onion', 'nuts', 'pomegranate', 'oil', 'vinegar', 'honey', 'salt', 'pepper']"
535,"['kale', 'apples', 'pomegranate', 'cinnamon', 'oil', 'juice', 'shallot', 'thyme', 'pepper', 'flakes']"
536,"['butter', 'carrots', 'salt', 'pepper', 'taste', 'orange', 'juice', 'pomegranate']"
537,"['onion', 'limes', 'serrano', 'chile', 'peppers', 'salt', 'ripe', 'avocados', 'cilantro', 'pomegranate', 'seeds', 'sprig']"
538,"['eggs', 'flour', 'sugar', 'salt', 'oil', 'cinnamon', 'persimmon', 'pulp', 'walnuts', 'baking', 'soda', 'raisins']"
539,"['persimmon', 'pulp', 'soda', 'sugar', 'oil', 'eggs', 'cinnamon', 'salt', 'water', 'flour', 'walnuts']"
540,"['butter', 'flour', 'sugar', 'lemon', 'juice', 'cinnamon', 'package', 'pie', 'crusts', 'persimmons']"
541,"['flesh', 'chunks', 'sugar', 'skin', 'juice', 'lemon', 'zest']"
542,"['pastry', 'inch', 'crust', 'pie', 'eggs', 'cinnamon', 'sugar', 'salt', 'cream', 'persimmon', 'pulp', 'butter', 'lemon', 'juice']"
543,"['spray', 'flour', 'baking', 'soda', 'powder', 'salt', 'cinnamon', 'sugar', 'brown', 'eggs', 'beaten', 'milk', 'pulp', 'butter']"
544,"['cooking', 'spray', 'flour', 'sugar', 'soda', 'powder', 'salt', 'pulp', 'milk', 'eggs', 'vanilla', 'extract']"
545,"['flour', 'baking', 'soda', 'cinnamon', 'cloves', 'salt', 'sugar', 'butter', 'ripe', 'persimmons', 'egg', 'walnuts']"
546,"['persimmons', 'lemon', 'syrup', 'cinnamon', 'cloves']"
547,"['shortening', 'sugar', 'egg', 'vanilla', 'extract', 'flour', 'soda', 'powder', 'salt', 'cloves', 'cinnamon', 'raisins', 'walnuts', 'persimmon', 'pulp']"
548,"['egg', 'persimmon', 'pulp', 'canola', 'oil', 'milk', 'flour', 'walnuts', 'sugar', 'salt', 'powder', 'cinnamon']"
549,"['persimmon', 'pulp', 'baking', 'soda', 'egg', 'beaten', 'sugar', 'oil', 'raisins', 'flour', 'cinnamon', 'salt', 'cloves', 'walnuts', 'confectioners', 'juice']"
550,"['oats', 'flour', 'baking', 'bits', 'soda', 'salt', 'cinnamon', 'cloves', 'brown', 'sugar', 'butter', 'egg', 'persimmon', 'puree', 'vanilla']"
551,"['bananas', 'persimmon', 'sugar', 'coconut', 'oil', 'egg', 'vanilla', 'extract', 'flour', 'powder', 'salt', 'cinnamon']"
552,"['walnuts', 'brown', 'sugar', 'butter', 'persimmons', 'cheese', '¼', 'cream', 'cinnamon', 'ginger', 'eggs', 'vanilla', 'extract']"
553,"['persimmon', 'spinach', 'seeds', 'goat', 'cheese', 'almonds']"
554,"['oil', 'onion', 'carrots', 'bay', 'leaf', 'wine', 'persimmons', 'vinegar', 'salt', 'pepper']"
555,"['butter', 'sugar', 'persimmons', 'pulp', 'egg', 'vanilla', 'extract', 'flour', 'baking', 'soda', 'salt', 'chips']"
556,"['egg', 'whites', 'room', 'temperature', 'sugar', 'superfine', 'cornstarch', 'orange', 'blossom', 'water', 'vinegar']"
557,"['persimmons', 'apple', 'brown', 'sugar', 'cinnamon', 'ginger', 'lemon', 'zest']"
558,"['margarine', 'brown', 'sugar', 'persimmons']"
559,"['pulp', 'sugar', 'eggs', 'beaten', 'baking', 'soda', 'flour', 'salt', 'powder', 'cinnamon', 'buttermilk', 'cream', 'honey', 'butter']"
560,"['persimmons', 'sugar', 'lemon', 'juice', 'orange', 'zest', 'nutmeg']"
561,"['persimmon', 'stem', 'rounds', 'ball', 'burrata', 'cheese', 'glaze', 'oil', 'leaves', 'basil', 'pepper']"
562,"['persimmon', 'pulp', 'soda', 'sugar', 'eggs', 'oil', 'cinnamon', 'salt', 'flour', 'cranberries']"
563,"['egg', 'persimmon', 'pulp', 'milk', 'vanilla', 'extract', 'butter', 'sugar', 'flour', 'soda', 'salt', 'cinnamon']"
564,"['beef', 'onion', 'tomatoes', 'jalapeno', 'peppers', 'beans', 'tangy', 'coconut', 'chili', 'vindaloo', 'sauce', 'ketchup', 'paste', 'ripe', 'persimmon', 'salt', 'pepper', 'flakes', 'cumin', 'powder']"
565,"['focaccia', 'flatbread', 'persimmon', 'rounds', 'oil', 'salt', 'sprigs', 'burrata', 'cheese']"
566,"['flour', 'soda', 'cinnamon', 'ginger', 'butter', 'sugar', 'eggs', 'pulp']"
567,"['sugar', 'flour', 'oatmeal', 'salt', 'cinnamon', 'allspice', 'cloves', 'soda', 'persimmon', 'pulp', 'applesauce', 'oil', 'eggs']"
568,"['persimmon', 'pulp', 'water', 'butter', 'sugar', 'salt', 'flour', 'wheat', 'germ', 'cinnamon', 'yeast', 'raisins']"
569,"['sugar', 'cinnamon', 'cornstarch', 'sea', 'salt', 'persimmons', 'graham', 'crackers', 'butter']"
570,"['sugar', 'shortening', 'eggs', 'flour', 'salt', 'soda', 'cinnamon', 'pulp', 'paste', 'walnuts']"
571,"['buttermilk', 'baking', 'soda', 'flour', 'powder', 'cinnamon', 'salt', 'pulp', 'sugar', 'eggs', 'whipping', 'cream', 'butter']"
572,"['butter', 'pulp', 'sugar', 'eggs', '¼', 'buttermilk', 'baking', 'soda', 'flour', 'powder', 'cinnamon', 'salt', 'vanilla', 'extract']"
573,"['flour', 'cinnamon', 'baking', 'soda', 'salt', 'ginger', 'nutmeg', 'walnuts', 'cranberries', 'eggs', 'sugar', 'oil', 'ripe', 'persimmons', 'pieces']"
574,"['oil', 'pecans', 'dates', 'nectar', 'ripe', 'persimmons', 'cinnamon']"
575,"['macadamia', 'nuts', 'syrup', 'salt']"
576,"['pulp', 'baking', 'soda', 'butter', 'sugar', 'flour', 'cinnamon', 'cloves', 'salt', 'egg', 'pecans', 'raisins']"
577,"['shortening', 'sugar', 'egg', 'persimmon', 'pulp', 'flour', 'powder', 'soda', 'cinnamon', 'cloves', 'salt', 'raisins', 'walnuts']"
578,"['persimmon', 'pulp', 'egg', 'beaten', '¼', 'sugar', 'flour', 'milk', 'soda', 'powder', 'cinnamon', 'salt', 'butter']"
579,"['cider', 'vinegar', 'onion', 'apple', 'raisins', 'sugar', 'lemon', 'juice', 'chile', 'pepper', 'ginger', 'root', 'coriander', 'seed', 'cloves', 'persimmons']"
580,"['flour', 'cinnamon', 'ginger', 'soda', 'salt', 'butter', 'sugar', 'lemon', 'ripe', 'persimmons', 'egg', 'confectioners']"
581,"['flour', 'powder', 'baking', 'soda', 'salt', 'ripe', 'bananas', 'milk', 'cinnamon', 'sugar', 'butter', 'eggs', 'semisweet', 'chocolate', 'chips']"
582,"['bananas', 'sugar', 'egg', 'butter', 'flour', 'baking', 'soda', 'salt']"
583,"['flour', 'powder', 'baking', 'soda', 'salt', 'bananas', 'sugar', 'egg', 'butter']"
584,"['bananas', 'chunks', 'milk', 'peanut', 'butter', 'honey', 'ice', 'cubes']"
585,"['sugar', 'butter', 'eggs', 'vanilla', 'extract', 'flour', 'baking', 'soda', 'salt', 'cream', 'walnuts', 'bananas']"
586,"['butter', 'dark', 'brown', 'sugar', 'vanilla', 'extract', 'cinnamon', 'bananas', 'lengthwise', 'crosswise', 'walnuts', 'ice', 'cream']"
587,"['sugar', 'flour', 'salt', 'milk', 'egg', 'yolks', 'beaten', 'butter', 'vanilla', 'extract', 'inch', 'pastry', 'shell', 'bananas']"
588,"['flour', 'oats', 'sugar', 'powder', 'baking', 'soda', 'salt', 'egg', 'milk', 'oil', 'vanilla', 'extract', 'bananas']"
589,"['flour', 'soda', 'salt', 'sugar', 'butter', 'bananas', 'eggs', 'beaten', 'walnuts']"
590,"['flour', 'powder', 'baking', 'soda', 'cinnamon', 'salt', 'bananas', 'ripe', 'work', 'sugar', 'butter', 'egg', 'vanilla', 'extract', 'walnuts']"
591,"['flour', 'baking', 'soda', 'powder', 'salt', 'bananas', 'sugar', 'butter', 'egg']"
592,"['bananas', 'juice', 'flour', 'soda', 'salt', '⅛', 'sugar', 'butter', 'eggs', 'vanilla', 'extract', 'buttermilk']"
593,"['ice', 'cubes', 'milk', 'banana', 'protein', 'powder', 'butter', 'honey', 'cocoa']"
594,"['strawberries', 'banana', 'yogurt', 'pineapple', 'juice', 'sugar', 'orange', 'milk']"
595,"['package', 'cream', 'cheese', 'room', 'temperature', 'milk', 'vanilla', 'mix', 'skim', 'extract', 'container', 'wafers', 'bananas']"
596,"['soy', 'milk', 'oats', 'strawberries', 'banana', 'chunks', 'sugar', 'vanilla', 'extract']"
597,"['flour', 'baking', 'soda', 'salt', 'sugar', 'butter', 'eggs', 'ripe', 'bananas', 'buttermilk', 'walnuts']"
598,"['sugar', 'cinnamon', 'butter', 'bananas', 'container', 'cream', 'eggs', 'vanilla', 'extract', 'flour', 'soda', 'salt', 'walnuts']"
599,"['sugar', 'margarine', 'eggs', 'banana', 'flour', 'baking', 'soda']"
600,"['plain', 'milk', 'spinach', 'banana']"
601,"['strawberries', 'peaches', 'banana', 'chunks', 'ice', 'juice']"
602,"['cracker', 'crumbs', 'sugar', 'butter', 'cheese', 'confectioners', 'bananas', 'pineapple', 'container', 'jar', 'maraschino', 'cherries', 'peanuts']"
603,"['flour', 'cocoa', 'powder', 'soda', 'salt', 'sugar', 'canola', 'oil', 'milk', 'egg', 'vanilla', 'extract', 'bananas', 'semisweet', 'chocolate', 'chips']"
604,"['flour', 'sugar', 'cinnamon', 'powder', 'baking', 'soda', 'salt', 'bananas', 'canola', 'oil', 'coconut', 'milk']"
605,"['ice', 'cubes', 'pineapple', 'banana', 'chunks', 'apple', 'juice']"
606,"['sugar', 'oil', 'egg', 'ripe', 'bananas', 'walnuts', 'flour', 'baking', 'soda', 'salt']"
607,"['banana', 'diagonals', 'oil', 'cooking', 'spray']"
608,"['flour', 'powder', 'salt', 'soda', 'sugar', 'butter', 'bananas', 'eggs', 'vanilla', 'extract', 'chips']"
609,"['spray', 'flour', 'powder', 'baking', 'soda', 'bananas', 'sugar', 'butter', 'egg']"
610,"['sugar', 'flour', 'salt', 'eggs', 'beaten', 'milk', 'butter', 'vanilla', 'extract', 'bananas', 'package', 'wafer', 'cookies']"
611,"['bananas', '⅓', 'puree', 'honey', 'sugar', 'oil', 'eggs', 'flour', 'pie', 'spice', 'powder', 'baking', 'soda', 'cinnamon', 'salt', 'raisins', 'walnut', 'pieces']"
612,"['bananas', 'lengthwise', 'flour', 'sugar', 'eggs', 'oil', 'powder', 'baking', 'soda']"
613,"['bananas', 'milk', 'flour', 'powder', 'salt', 'eggs', 'beaten', 'margarine', 'oil', 'frying', 'confectioners', 'sugar']"
614,"['flour', 'baking', 'soda', 'salt', 'sugar', 'butter', 'eggs', 'vanilla', 'extract', 'ripe', 'bananas', 'blueberries']"
615,"['spray', 'flour', 'sugar', 'powder', 'soda', 'cinnamon', 'banana', 'applesauce', 'egg', 'whites']"
616,"['flour', 'sugar', 'powder', 'salt', 'bananas', 'butter', 'milk', 'egg', 'semisweet', 'chocolate', 'chips']"
617,"['carrots', 'bananas', 'zucchini', 'oil', 'yogurt', 'eggs', 'wheat', 'flour', 'soda', 'sugar', 'oats', 'coconut', 'pecans', 'cherries', 'cinnamon', 'salt', 'ginger']"
618,"['banana', 'peppers', 'butter', 'onion', 'celery', 'tomatoes', 'sauce', 'cloves', 'salt', 'basil', 'oregano', 'pepper', 'cheese', 'egg', 'sausage', 'mild', 'crumbs']"
619,"['bananas', 'flour', 'sugar', 'butter', 'walnuts', 'egg', 'baking', 'soda', 'salt']"
620,"['bananas', 'vanilla', 'yogurt', 'milk']"
621,"['strawberries', 'banana', 'almonds', 'water', 'ice', 'cubes', 'chocolate', 'protein', 'powder']"
622,"['bananas', 'rounds', 'lemon', 'juice']"
623,"['water', 'oats', 'sugar', 'salt', 'bananas', 'cinnamon', 'milk']"
624,"['bananas', 'chunks', '¼', 'sugar', 'butter', 'egg', 'cinnamon', 'vanilla', 'extract', 'milk', 'flour', 'soda', 'powder', 'kosher', 'salt']"
625,"['flour', 'sugar', 'baking', 'soda', 'salt', 'bananas', 'oil', 'walnuts', 'pineapple', 'eggs']"
626,"['bananas', 'milk', 'egg', 'beaten', 'honey', 'vanilla', 'extract', 'oats', 'cinnamon', 'powder', 'salt']"
627,"['ice', 'cubes', 'milk', 'banana', 'sugar', 'cinnamon']"
628,"['butter', 'brown', 'sugar', 'bananas', 'eggs', 'milk', 'vanilla', 'extract', 'flour', 'wheat', 'bran', 'powder', 'baking', 'soda', 'salt', 'walnuts']"
629,"['strawberries', 'orange', 'juice', 'ripe', 'banana', 'ice', 'cubes']"
630,"['sugar', 'butter', 'eggs', 'ripe', 'bananas', 'flour', 'baking', 'soda', 'powder', 'salt', 'walnuts']"
631,['eggs']
632,"['bananas', 'milk', 'ice', 'cubes', 'cocoa', 'powder', 'peanut', 'butter', 'vanilla', 'extract']"
633,"['spray', 'flour', 'powder', 'salt', 'ripe', 'bananas', 'eggs', 'sugar', 'walnuts']"
634,"['almondmilk', 'oats', 'banana', 'chia', 'seeds']"
635,"['butter', 'semisweet', 'chocolate', 'chips', 'egg', 'sugar', 'ripe', 'banana', 'vanilla', 'extract', 'salt', 'flour']"
636,"['flour', 'sugar', 'butter', 'vanilla', 'extract', 'baking', 'soda', 'powder', 'egg', 'bananas']"
637,"['cooking', 'spray']"
638,"['kiwis', 'pineapple', 'juice', 'lemon', 'apples', 'sugar']"
639,"['apple', 'banana', 'chunks', 'kiwifruit', '¼', 'milk', 'ice', 'seeds', 'maca', 'powder']"
640,"['package', 'sugar', 'cookies', 'vanilla', 'fruit', 'kiwi', 'strawberries', 'blueberries', 'mandarin', 'oranges', 'apricot', 'preserves', 'sieve', 'lumps', 'water']"
641,"['cooking', 'spray', 'flour', 'confectioners', 'sugar', 'butter', 'package', 'cream', 'cheese', 'almond', 'extract', 'strawberries', 'blueberries', 'kiwi', 'pineapple', 'juice', 'cornstarch', 'lemon']"
642,"['flour', 'butter', 'sugar']"
643,"['onion', 'tomato', 'ripe', 'kiwi', 'lime', 'cilantro', 'salt', 'pepper', 'cream', 'oil', 'poblano', 'pork', 'seasoning', 'stock', 'paste', 'flour', 'tortillas']"
644,"['vinegar', 'jam', 'oil', 'spinach', 'pieces', 'walnuts', 'strawberries', 'kiwis']"
645,"['almondmilk', 'grapes', 'kale', 'kiwi', 'fruit', 'package', 'pineapple', 'chunks']"
646,"['whipping', 'cream', 'sugar', 'vanilla', 'extract', 'slices', 'milk', 'bread', 'strawberries', 'kiwi', 'mandarin', 'orange', 'segments', 'grapes']"
647,"['milk', 'sugar', 'pineapple', 'banana', 'kiwi', 'fruit']"
648,"['kiwis', 'sugar', 'cider', 'vinegar', 'juice', 'salt', 'powder', 'cornstarch', 'clove', 'garlic', 'package', 'pork', 'ribs']"
649,"['carrot', 'banana', 'kiwi', 'apple', 'pineapple', 'ice', 'cubes']"
650,"['kiwis', 'strawberries', 'blackberries', 'flavor', 'fruit', 'brown', 'sugar', 'cayenne', 'pepper', 'sauce', 'salsa', 'lime', 'juice']"
651,"['egg', 'whites', 'cream', 'tartar', 'sugar', 'cornstarch', 'vinegar', '¼', 'vanilla', 'extract', 'confectioners', 'passion', 'fruits']"
652,"['bottle', 'wine', 'club', 'soda', 'liqueur', 'sugar', 'seedless', 'grapes', 'kiwis', 'pear', 'ice', 'cubes', 'sprigs', 'mint']"
653,"['egg', 'water', 'puff', 'pastry', 'shells', 'strawberry', 'preserves', 'strawberries', 'kiwis', 'honey', 'cream', 'confectioners', 'sugar']"
654,"['pineapple', 'strawberries', 'kiwifruit', 'grape', 'tomatoes', 'cilantro', 'vinegar', 'fillets', 'blend']"
655,"['egg', 'whites', 'salt', 'vinegar', 'castor', 'sugar', 'superfine', 'vanilla', 'extract', 'coconut', 'cream', 'strawberries', 'kiwifruit', 'lengthwise', 'peach', 'blueberries']"
656,"['package', 'cheese', 'honey', 'kiwi', 'fruit', 'slices', 'wheat', 'bread']"
657,"['honey', 'wine', 'hoisin', 'sauce', 'kiwi', 'dark', 'soy', 'chile', 'cloves', 'powder']"
658,"['ice', 'strawberries', 'grape', 'juice', 'kiwi', 'fruit', 'water', 'lemon']"
659,"['pretzels', 'butter', 'sugar']"
660,"['lemon', 'juice', 'sugar', 'strawberries', 'pineapple', 'kiwis', 'orange', 'pieces']"
661,"['oil', 'cloves', 'ginger', 'sea', 'salt', 'pepper', 'kiwis', 'oregano', 'leaves', 'bunch', 'lacinato', 'dinosaur', 'kale', 'almonds']"
662,"['ice', 'banana', 'kiwi', 'strawberries', 'pineapple', 'cream', 'coconut', 'flakes', 'garnish']"
663,"['butter', 'kiwi', 'brown', 'sugar', 'eggs', 'vanilla', 'extract', 'flour', 'baking', 'soda', 'oat', 'cereal', 'milk', 'chips']"
664,"['cream', 'cheese', 'sugar', 'vanilla', 'extract', 'strawberries', 'pineapple', 'seedless', 'grapes', 'blueberries', 'plastic', 'cookies', 'kiwis']"
665,"['strawberries', 'kiwi', 'bananas', 'inch', 'flour', 'tortillas', 'canola', 'cooking', 'spray', 'cinnamon', 'sugar']"
666,"['container', 'vanilla', 'yogurt', 'kiwi', 'macadamia', 'nuts', 'agave', 'nectar', 'mint']"
667,"['oil', 'lemon', 'juice', 'parsley', 'clove', 'garlic', 'basil', 'pepper', 'salt', 'tilapia', 'fillets']"
668,"['jicama', 'matchsticks', 'bell', 'pepper', 'firm', 'mango', 'onion']"
669,"['mangoes', 'sugar', 'water', 'saffron', 'threads']"
670,"['chicken', 'wing', 'sections', 'brown', 'sugar', 'habanero', 'peppers', 'sauce', 'sriracha', 'chili', 'rice', 'vinegar', 'stick', 'butter', 'cloves', 'honey', 'cornstarch', 'oil', 'frying']"
671,"['oil', 'sauce', 'juice', 'clove', 'garlic', 'pepper', 'flakes', 'ginger', 'root', 'onion', 'salt', 'mahi', 'fillets', 'jasmine', 'rice', 'water', 'cube', 'chicken', 'bouillon', 'butter', 'milk', 'sugar', 'mango']"
672,"['flour', 'soda', 'cinnamon', 'salt', 'eggs', 'butter', '¼', 'sugar', 'vanilla', 'extract', 'mango', 'coconut', 'walnuts']"
673,"['wine', 'fluid', 'soda', 'brandy', 'peach', 'schnapps', 'peaches', 'package', 'strawberries', 'pineapple', 'chunks', 'container', 'raspberries']"
674,"['pastry', 'pie', 'mango', 'sugar', 'cornstarch', 'juice', 'cinnamon', 'butter', 'chunks']"
675,"['tomato', 'onion', 'pepper', 'parsley', 'oil', 'sugar', 'lime', 'cider', 'vinegar', 'sauce', 'salt', 'taco', 'shells', 'mahi', 'fillets', 'slices', 'paprika']"
676,"['oil', 'onion', 'ripe', 'mangoes', 'peach', 'honey', 'habanero', 'peppers', 'mustard', 'salt', 'pepper', 'cumin', 'allspice', 'sugar', 'vinegar', 'apple', 'cider']"
677,"['mango', 'vanilla', 'yogurt', 'almond', 'milk', 'ice', 'scoop', 'whey', 'protein', 'powder', 'honey']"
678,"['mango', 'rice', 'vinegar', 'juice', 'lime', 'chile', 'pepper', 'clove', 'garlic', 'paste', 'oelek', 'cilantro']"
679,"['tomatoes', 'mango', 'onion', 'sugar', 'cilantro', 'juice', 'cider', 'vinegar', 'salt', 'pepper', 'cloves']"
680,"['milk', 'vanilla', 'yogurt', 'extract', 'mango', 'ice', 'cubes']"
681,"['mango', 'box', 'cake', 'mix', 'eggs', 'water', 'oil']"
682,"['firm', 'green', 'matchsticks', 'onion', 'bell', 'pepper', 'sprigs', 'cilantro', 'juice', 'sauce', 'brown', 'sugar', 'peanuts']"
683,"['syrup', 'lime', 'juice']"
684,"['mango', 'pulp', 'sugar', 'margarine', 'eggs', 'flour', 'powder', 'baking', 'soda', 'almonds']"
685,"['oil', 'juice', 'cloves', 'tuna', 'steaks', 'mango', 'bell', 'pepper', 'onion', 'cilantro', 'jalapeno', 'cayenne', 'powder', 'salt', 'thyme', 'basil', 'oregano']"
